prompt_index,timestamp_ns,prompt_text,typed_text,match
0,17348039833,8oug9jk7,8oug9jk7,YES
1,30303478000,fnwm5dlw,fnwm5dlw,YES
2,42299116291,f6rl5ill,f6rl5ill,YES
3,63794598500,nlz1f0xy,nlz1f0xy,YES
4,75719787166,vw78tp4n,vw78tp4n,YES
5,90947209250,syjae25k,syjae25k,YES
6,102734526750,omu5x4x8,omu5x4x8,YES
7,115539915666,qp6zd2ll,qp6zd2ll,YES
8,127927437833,c959j89d,c959j89d,YES
9,139471919375,2zvl4656,2zvl4656,YES
