prompt_index,timestamp_ns,prompt_text,typed_text,match
0,14863514500,474auq9g,474auq9g,YES
1,25921056333,kqjajtu3,kqjajtu3,YES
2,36789564875,b7kq9au1,b7kq9au1,YES
3,48589029375,96qistv0,96qistv0,YES
4,60351137583,zq46ktvz,zq46ktvz,YES
5,74347271750,ohwh5zon,ohwh5zon,YES
6,86708436125,66jziz5e,66jziz5e,YES
7,99857319666,8l7398ro,817398ro,NO
7,113866137250,8l7398ro,8l7398ro,YES
8,131246750416,zumpc4wd,zumpc4wd,YES
9,142322430208,vxo0sdnu,vxo0sdnu,YES
