prompt_index,timestamp_ns,prompt_text,typed_text,match
0,14446706666,5ld7hwcj,5ld7hwcj,YES
1,25071103583,adq09lva,adq09lva,YES
2,35401982208,vvxmk6po,vvxmk6po,YES
3,47848552708,xclw8r43,xclw8r43,YES
4,58084577333,hlrd98g3,hlrd98g3,YES
5,68133152750,pvx4n1yg,pvx4n1yg,YES
6,79838892750,f7h1mpe8,f7h1mpe8,YES
7,91547783000,f69g13e3,f69g13e3,YES
8,105792342166,x11ylqcn,x11ylqcn,YES
9,117627487166,kz4n0osd,kz4n0osd,YES
