prompt_index,timestamp_ns,prompt_text,typed_text,match
0,15917994458,psgaiow3,psgaiow3,YES
1,26353200750,bzglwvn6,bzglwvn6,YES
2,36734578500,l4cl7dai,l4cl7dai,YES
3,48851952541,a7tgharz,a7tgharz,YES
4,60889519833,049rzc69,049rzc69,YES
5,74136416708,y9roc92i,y9roc92i,YES
6,93220905791,ndafec0x,ndafec0x,YES
7,104563416500,f7o73963,f7o73963,YES
8,116085826250,9v6ys8wa,9v6ys8wa,YES
9,128405195916,b4bcr8wn,b4cr8wn,NO
9,140282754000,b4bcr8wn,b4bcr8wn,YES
