prompt_index,timestamp_ns,prompt_text,typed_text,match
0,11935643041,9ttyedgm,9ttyedgm,YES
1,23427735375,7uc0gvdb,7uc0gvdb,YES
2,35793422333,b5s95ei6,b5s95ei6,YES
3,50460036458,4ihrimcx,4ihrimcx,YES
4,62050524250,5r9zwj8v,5r9zwj8v,YES
5,74910241791,gfohbl5m,gfohbl5m,YES
6,88736343833,5c0cn4lw,5c0cn4lw,YES
7,100731530666,p58gcy2a,p58gcy2a,YES
8,113073067750,w6f5hnen,w6f5hnen,YES
9,125164769750,p9wiwa3l,p9wiwa3l,YES
