prompt_index,timestamp_ns,prompt_text,typed_text,match
0,13500249750,idcon1in,idcon1in,YES
1,24686548500,c72rcbha,c72rcbha,YES
2,36293586083,8r5v47og,8r5v47og,YES
3,48394032375,sra03y74,sra03y74,YES
4,61003607875,s2dfu0j4,s2dfu0j4,YES
5,72254205166,gxyqsi8e,gxyqsi8e,YES
6,83563422708,04mhs3t3,04mhs3t3,YES
7,95611568083,d502yzsx,d502yzsx,YES
8,108608292458,fm4obea4,fm4obea4,YES
9,120153654125,4kd9l9h8,4kd9l9h8,YES
