timestamp_ns,key,event_type,participant_id,session_id
60285794083,e,press,p01,p01_free_type_part4_20260314_221128
60357957916,e,release,p01,p01_free_type_part4_20260314_221128
60873921833,t,press,p01,p01_free_type_part4_20260314_221128
60941881791,t,release,p01,p01_free_type_part4_20260314_221128
61352371500,space,press,p01,p01_free_type_part4_20260314_221128
61424772791,space,release,p01,p01_free_type_part4_20260314_221128
62395600041,7,press,p01,p01_free_type_part4_20260314_221128
62467928250,7,release,p01,p01_free_type_part4_20260314_221128
63047386041,8,press,p01,p01_free_type_part4_20260314_221128
63111717875,8,release,p01,p01_free_type_part4_20260314_221128
63809387833,1,press,p01,p01_free_type_part4_20260314_221128
63881686250,1,release,p01,p01_free_type_part4_20260314_221128
64322358083,2,press,p01,p01_free_type_part4_20260314_221128
64350308500,2,release,p01,p01_free_type_part4_20260314_221128
64980266750,space,press,p01,p01_free_type_part4_20260314_221128
65053390000,space,release,p01,p01_free_type_part4_20260314_221128
65542474708,w,press,p01,p01_free_type_part4_20260314_221128
65626806666,w,release,p01,p01_free_type_part4_20260314_221128
65992561458,a,press,p01,p01_free_type_part4_20260314_221128
66088736958,a,release,p01,p01_free_type_part4_20260314_221128
66431446041,s,press,p01,p01_free_type_part4_20260314_221128
66507661041,s,release,p01,p01_free_type_part4_20260314_221128
66921174250,space,press,p01,p01_free_type_part4_20260314_221128
67001754333,space,release,p01,p01_free_type_part4_20260314_221128
68179325833,r,press,p01,p01_free_type_part4_20260314_221128
68243611958,r,release,p01,p01_free_type_part4_20260314_221128
68662334000,e,press,p01,p01_free_type_part4_20260314_221128
68722573333,e,release,p01,p01_free_type_part4_20260314_221128
69335415041,o,press,p01,p01_free_type_part4_20260314_221128
69423513250,o,release,p01,p01_free_type_part4_20260314_221128
69769438750,p,press,p01,p01_free_type_part4_20260314_221128
69837595083,p,release,p01,p01_free_type_part4_20260314_221128
70421290250,e,press,p01,p01_free_type_part4_20260314_221128
70501612000,e,release,p01,p01_free_type_part4_20260314_221128
70840223083,n,press,p01,p01_free_type_part4_20260314_221128
70892616500,n,release,p01,p01_free_type_part4_20260314_221128
71404196166,e,press,p01,p01_free_type_part4_20260314_221128
71476643208,e,release,p01,p01_free_type_part4_20260314_221128
71981324291,d,press,p01,p01_free_type_part4_20260314_221128
72057759500,d,release,p01,p01_free_type_part4_20260314_221128
72370314041,space,press,p01,p01_free_type_part4_20260314_221128
72454497125,space,release,p01,p01_free_type_part4_20260314_221128
72847223750,a,press,p01,p01_free_type_part4_20260314_221128
72939541041,a,release,p01,p01_free_type_part4_20260314_221128
73880236916,f,press,p01,p01_free_type_part4_20260314_221128
73956856375,f,release,p01,p01_free_type_part4_20260314_221128
74995251833,t,press,p01,p01_free_type_part4_20260314_221128
75067446125,t,release,p01,p01_free_type_part4_20260314_221128
75654188500,e,press,p01,p01_free_type_part4_20260314_221128
75734613125,e,release,p01,p01_free_type_part4_20260314_221128
76194246583,r,press,p01,p01_free_type_part4_20260314_221128
76282443833,r,release,p01,p01_free_type_part4_20260314_221128
77215033458,space,press,p01,p01_free_type_part4_20260314_221128
77303479916,space,release,p01,p01_free_type_part4_20260314_221128
78411284083,t,press,p01,p01_free_type_part4_20260314_221128
78487560000,t,release,p01,p01_free_type_part4_20260314_221128
79073108833,h,press,p01,p01_free_type_part4_20260314_221128
79153371875,h,release,p01,p01_free_type_part4_20260314_221128
79604014208,e,press,p01,p01_free_type_part4_20260314_221128
79684960916,e,release,p01,p01_free_type_part4_20260314_221128
80207231125,space,press,p01,p01_free_type_part4_20260314_221128
80295441708,space,release,p01,p01_free_type_part4_20260314_221128
81082014291,n,press,p01,p01_free_type_part4_20260314_221128
81146456333,n,release,p01,p01_free_type_part4_20260314_221128
81699044458,i,press,p01,p01_free_type_part4_20260314_221128
81743385333,i,release,p01,p01_free_type_part4_20260314_221128
82449032041,g,press,p01,p01_free_type_part4_20260314_221128
82513350583,g,release,p01,p01_free_type_part4_20260314_221128
83063223000,h,press,p01,p01_free_type_part4_20260314_221128
83135440208,h,release,p01,p01_free_type_part4_20260314_221128
83899198625,t,press,p01,p01_free_type_part4_20260314_221128
83972047500,t,release,p01,p01_free_type_part4_20260314_221128
85076976791,l,press,p01,p01_free_type_part4_20260314_221128
85153398083,l,release,p01,p01_free_type_part4_20260314_221128
85844164500,y,press,p01,p01_free_type_part4_20260314_221128
85912253666,y,release,p01,p01_free_type_part4_20260314_221128
86549886291,space,press,p01,p01_free_type_part4_20260314_221128
86626287833,space,release,p01,p01_free_type_part4_20260314_221128
87470314750,t,press,p01,p01_free_type_part4_20260314_221128
87534481541,t,release,p01,p01_free_type_part4_20260314_221128
88065078541,e,press,p01,p01_free_type_part4_20260314_221128
88129320375,e,release,p01,p01_free_type_part4_20260314_221128
88441952666,s,press,p01,p01_free_type_part4_20260314_221128
88510233333,s,release,p01,p01_free_type_part4_20260314_221128
89290629541,t,press,p01,p01_free_type_part4_20260314_221128
89361347791,t,release,p01,p01_free_type_part4_20260314_221128
89813859791,space,press,p01,p01_free_type_part4_20260314_221128
89878113875,space,release,p01,p01_free_type_part4_20260314_221128
90575870166,f,press,p01,p01_free_type_part4_20260314_221128
90652000291,f,release,p01,p01_free_type_part4_20260314_221128
91270939041,a,press,p01,p01_free_type_part4_20260314_221128
91351127916,a,release,p01,p01_free_type_part4_20260314_221128
91753495958,i,press,p01,p01_free_type_part4_20260314_221128
91812939291,i,release,p01,p01_free_type_part4_20260314_221128
92191896083,l,press,p01,p01_free_type_part4_20260314_221128
92296162333,l,release,p01,p01_free_type_part4_20260314_221128
92677973208,e,press,p01,p01_free_type_part4_20260314_221128
92750423916,e,release,p01,p01_free_type_part4_20260314_221128
93034646625,d,press,p01,p01_free_type_part4_20260314_221128
93122095666,d,release,p01,p01_free_type_part4_20260314_221128
93700995291,enter,press,p01,p01_free_type_part4_20260314_221128
93747313625,enter,release,p01,p01_free_type_part4_20260314_221128
96545132791,p,press,p01,p01_free_type_part4_20260314_221128
96605149000,p,release,p01,p01_free_type_part4_20260314_221128
97207711916,l,press,p01,p01_free_type_part4_20260314_221128
97280024500,l,release,p01,p01_free_type_part4_20260314_221128
98046934708,e,press,p01,p01_free_type_part4_20260314_221128
98135297625,e,release,p01,p01_free_type_part4_20260314_221128
98514871958,a,press,p01,p01_free_type_part4_20260314_221128
98615001125,a,release,p01,p01_free_type_part4_20260314_221128
98976677916,s,press,p01,p01_free_type_part4_20260314_221128
99057199875,s,release,p01,p01_free_type_part4_20260314_221128
99586784083,e,press,p01,p01_free_type_part4_20260314_221128
99655143583,e,release,p01,p01_free_type_part4_20260314_221128
100271774166,space,press,p01,p01_free_type_part4_20260314_221128
100356197500,space,release,p01,p01_free_type_part4_20260314_221128
101281736333,v,press,p01,p01_free_type_part4_20260314_221128
101350079458,v,release,p01,p01_free_type_part4_20260314_221128
102024847750,e,press,p01,p01_free_type_part4_20260314_221128
102081050791,e,release,p01,p01_free_type_part4_20260314_221128
103206583833,r,press,p01,p01_free_type_part4_20260314_221128
103291042291,r,release,p01,p01_free_type_part4_20260314_221128
103786584125,i,press,p01,p01_free_type_part4_20260314_221128
103862771791,i,release,p01,p01_free_type_part4_20260314_221128
104243714125,f,press,p01,p01_free_type_part4_20260314_221128
104307786500,f,release,p01,p01_free_type_part4_20260314_221128
104965605958,y,press,p01,p01_free_type_part4_20260314_221128
105038024666,y,release,p01,p01_free_type_part4_20260314_221128
105442422291,space,press,p01,p01_free_type_part4_20260314_221128
105526957791,space,release,p01,p01_free_type_part4_20260314_221128
106414544250,t,press,p01,p01_free_type_part4_20260314_221128
106491116458,t,release,p01,p01_free_type_part4_20260314_221128
106962537541,h,press,p01,p01_free_type_part4_20260314_221128
107038995916,h,release,p01,p01_free_type_part4_20260314_221128
107426733666,a,press,p01,p01_free_type_part4_20260314_221128
107514913375,a,release,p01,p01_free_type_part4_20260314_221128
108474802916,t,press,p01,p01_free_type_part4_20260314_221128
108540881125,t,release,p01,p01_free_type_part4_20260314_221128
109036498708,space,press,p01,p01_free_type_part4_20260314_221128
109124689875,space,release,p01,p01_free_type_part4_20260314_221128
109686524500,u,press,p01,p01_free_type_part4_20260314_221128
109770799958,u,release,p01,p01_free_type_part4_20260314_221128
110179567458,s,press,p01,p01_free_type_part4_20260314_221128
110259775000,s,release,p01,p01_free_type_part4_20260314_221128
110649231250,e,press,p01,p01_free_type_part4_20260314_221128
110725672333,e,release,p01,p01_free_type_part4_20260314_221128
111289674333,r,press,p01,p01_free_type_part4_20260314_221128
111373863041,r,release,p01,p01_free_type_part4_20260314_221128
111831461291,space,press,p01,p01_free_type_part4_20260314_221128
111907696916,space,release,p01,p01_free_type_part4_20260314_221128
112777656708,4,press,p01,p01_free_type_part4_20260314_221128
112849749833,4,release,p01,p01_free_type_part4_20260314_221128
113418532541,2,press,p01,p01_free_type_part4_20260314_221128
113510792333,2,release,p01,p01_free_type_part4_20260314_221128
113988684083,space,press,p01,p01_free_type_part4_20260314_221128
114060882250,space,release,p01,p01_free_type_part4_20260314_221128
114552803958,c,press,p01,p01_free_type_part4_20260314_221128
114608866166,c,release,p01,p01_free_type_part4_20260314_221128
