timestamp_ns,key,event_type,participant_id,session_id
29579870500,b,press,p01,p01_free_type_part1_20260310_220016
29645044708,b,release,p01,p01_free_type_part1_20260310_220016
29831390083,o,press,p01,p01_free_type_part1_20260310_220016
29899931208,o,release,p01,p01_free_type_part1_20260310_220016
29990360458,x,press,p01,p01_free_type_part1_20260310_220016
30086762916,x,release,p01,p01_free_type_part1_20260310_220016
30187370250,space,press,p01,p01_free_type_part1_20260310_220016
30276810916,space,release,p01,p01_free_type_part1_20260310_220016
30564613791,w,press,p01,p01_free_type_part1_20260310_220016
30640236166,w,release,p01,p01_free_type_part1_20260310_220016
30670330750,i,press,p01,p01_free_type_part1_20260310_220016
30694413666,i,release,p01,p01_free_type_part1_20260310_220016
31548561250,t,press,p01,p01_free_type_part1_20260310_220016
31616818458,t,release,p01,p01_free_type_part1_20260310_220016
31790732583,h,press,p01,p01_free_type_part1_20260310_220016
31866859083,h,release,p01,p01_free_type_part1_20260310_220016
32024442083,space,press,p01,p01_free_type_part1_20260310_220016
32104613166,space,release,p01,p01_free_type_part1_20260310_220016
32547438416,f,press,p01,p01_free_type_part1_20260310_220016
32623385625,i,press,p01,p01_free_type_part1_20260310_220016
32651014041,f,release,p01,p01_free_type_part1_20260310_220016
32695681416,i,release,p01,p01_free_type_part1_20260310_220016
32945469875,v,press,p01,p01_free_type_part1_20260310_220016
33001722708,v,release,p01,p01_free_type_part1_20260310_220016
33366437333,e,press,p01,p01_free_type_part1_20260310_220016
33406661000,e,release,p01,p01_free_type_part1_20260310_220016
33474223375,space,press,p01,p01_free_type_part1_20260310_220016
33538688083,space,release,p01,p01_free_type_part1_20260310_220016
33924193208,d,press,p01,p01_free_type_part1_20260310_220016
34000969791,d,release,p01,p01_free_type_part1_20260310_220016
34048867958,o,press,p01,p01_free_type_part1_20260310_220016
34113658333,o,release,p01,p01_free_type_part1_20260310_220016
34213123541,z,press,p01,p01_free_type_part1_20260310_220016
34325810458,z,release,p01,p01_free_type_part1_20260310_220016
34510939208,e,press,p01,p01_free_type_part1_20260310_220016
34579834916,e,release,p01,p01_free_type_part1_20260310_220016
34674728416,n,press,p01,p01_free_type_part1_20260310_220016
