timestamp_ns,key,event_type,participant_id,session_id
5330761250,space,press,p01,p01_single_key_g7_20260309_184051
5386045625,space,release,p01,p01_single_key_g7_20260309_184051
5856888791,space,press,p01,p01_single_key_g7_20260309_184051
5921062083,space,release,p01,p01_single_key_g7_20260309_184051
6403933916,space,press,p01,p01_single_key_g7_20260309_184051
6460315916,space,release,p01,p01_single_key_g7_20260309_184051
6932806375,space,press,p01,p01_single_key_g7_20260309_184051
7033058666,space,release,p01,p01_single_key_g7_20260309_184051
7514794333,space,press,p01,p01_single_key_g7_20260309_184051
7603283750,space,release,p01,p01_single_key_g7_20260309_184051
8100760208,space,press,p01,p01_single_key_g7_20260309_184051
8185189500,space,release,p01,p01_single_key_g7_20260309_184051
8995751000,space,press,p01,p01_single_key_g7_20260309_184051
9099997416,space,release,p01,p01_single_key_g7_20260309_184051
9573745958,space,press,p01,p01_single_key_g7_20260309_184051
9653918750,space,release,p01,p01_single_key_g7_20260309_184051
10175766291,space,press,p01,p01_single_key_g7_20260309_184051
10252154125,space,release,p01,p01_single_key_g7_20260309_184051
10739890125,space,press,p01,p01_single_key_g7_20260309_184051
10827910458,space,release,p01,p01_single_key_g7_20260309_184051
11400769291,space,press,p01,p01_single_key_g7_20260309_184051
11477085000,space,release,p01,p01_single_key_g7_20260309_184051
12262789625,space,press,p01,p01_single_key_g7_20260309_184051
12331019000,space,release,p01,p01_single_key_g7_20260309_184051
12887680791,space,press,p01,p01_single_key_g7_20260309_184051
12963969458,space,release,p01,p01_single_key_g7_20260309_184051
13461744125,space,press,p01,p01_single_key_g7_20260309_184051
13533944791,space,release,p01,p01_single_key_g7_20260309_184051
14330481541,space,press,p01,p01_single_key_g7_20260309_184051
14446947666,space,release,p01,p01_single_key_g7_20260309_184051
14952650083,space,press,p01,p01_single_key_g7_20260309_184051
15048842833,space,release,p01,p01_single_key_g7_20260309_184051
15535582500,space,press,p01,p01_single_key_g7_20260309_184051
15623941833,space,release,p01,p01_single_key_g7_20260309_184051
16121480833,space,press,p01,p01_single_key_g7_20260309_184051
16225897875,space,release,p01,p01_single_key_g7_20260309_184051
16679510416,space,press,p01,p01_single_key_g7_20260309_184051
16767820583,space,release,p01,p01_single_key_g7_20260309_184051
17237556458,space,press,p01,p01_single_key_g7_20260309_184051
17317803458,space,release,p01,p01_single_key_g7_20260309_184051
17800631041,space,press,p01,p01_single_key_g7_20260309_184051
17900984875,space,release,p01,p01_single_key_g7_20260309_184051
18385575041,space,press,p01,p01_single_key_g7_20260309_184051
18473774833,space,release,p01,p01_single_key_g7_20260309_184051
18969656625,space,press,p01,p01_single_key_g7_20260309_184051
19041912791,space,release,p01,p01_single_key_g7_20260309_184051
19525495041,space,press,p01,p01_single_key_g7_20260309_184051
19637853583,space,release,p01,p01_single_key_g7_20260309_184051
20106592833,space,press,p01,p01_single_key_g7_20260309_184051
20223001041,space,release,p01,p01_single_key_g7_20260309_184051
20677525916,space,press,p01,p01_single_key_g7_20260309_184051
20805764458,space,release,p01,p01_single_key_g7_20260309_184051
21253531416,space,press,p01,p01_single_key_g7_20260309_184051
21361745166,space,release,p01,p01_single_key_g7_20260309_184051
21861549541,space,press,p01,p01_single_key_g7_20260309_184051
21957711791,space,release,p01,p01_single_key_g7_20260309_184051
22479377458,space,press,p01,p01_single_key_g7_20260309_184051
22611836875,space,release,p01,p01_single_key_g7_20260309_184051
23101257125,space,press,p01,p01_single_key_g7_20260309_184051
23217698541,space,release,p01,p01_single_key_g7_20260309_184051
23677699166,space,press,p01,p01_single_key_g7_20260309_184051
23801492625,space,release,p01,p01_single_key_g7_20260309_184051
24282359958,space,press,p01,p01_single_key_g7_20260309_184051
24374789791,space,release,p01,p01_single_key_g7_20260309_184051
24825270833,space,press,p01,p01_single_key_g7_20260309_184051
24950042291,space,release,p01,p01_single_key_g7_20260309_184051
25414205041,space,press,p01,p01_single_key_g7_20260309_184051
25515158916,space,release,p01,p01_single_key_g7_20260309_184051
26016271375,space,press,p01,p01_single_key_g7_20260309_184051
26112555250,space,release,p01,p01_single_key_g7_20260309_184051
26620254541,space,press,p01,p01_single_key_g7_20260309_184051
26712580500,space,release,p01,p01_single_key_g7_20260309_184051
27214223333,space,press,p01,p01_single_key_g7_20260309_184051
27326452750,space,release,p01,p01_single_key_g7_20260309_184051
27842207416,space,press,p01,p01_single_key_g7_20260309_184051
27954612125,space,release,p01,p01_single_key_g7_20260309_184051
28433229125,space,press,p01,p01_single_key_g7_20260309_184051
28537637083,space,release,p01,p01_single_key_g7_20260309_184051
29005152333,space,press,p01,p01_single_key_g7_20260309_184051
29129568333,space,release,p01,p01_single_key_g7_20260309_184051
29610298083,space,press,p01,p01_single_key_g7_20260309_184051
29710551000,space,release,p01,p01_single_key_g7_20260309_184051
