timestamp_ns,key,event_type,participant_id,session_id
10441955333,m,press,p01,p01_single_key_g3_20260312_005049
10515819166,m,release,p01,p01_single_key_g3_20260312_005049
11039382916,m,press,p01,p01_single_key_g3_20260312_005049
11131338083,m,release,p01,p01_single_key_g3_20260312_005049
11667553083,m,press,p01,p01_single_key_g3_20260312_005049
11759771708,m,release,p01,p01_single_key_g3_20260312_005049
12327268750,m,press,p01,p01_single_key_g3_20260312_005049
12432529500,m,release,p01,p01_single_key_g3_20260312_005049
12961881708,m,press,p01,p01_single_key_g3_20260312_005049
13078092791,m,release,p01,p01_single_key_g3_20260312_005049
13599124166,m,press,p01,p01_single_key_g3_20260312_005049
13714696916,m,release,p01,p01_single_key_g3_20260312_005049
14212838416,m,press,p01,p01_single_key_g3_20260312_005049
14333579791,m,release,p01,p01_single_key_g3_20260312_005049
14849058875,m,press,p01,p01_single_key_g3_20260312_005049
14960517250,m,release,p01,p01_single_key_g3_20260312_005049
15479972291,m,press,p01,p01_single_key_g3_20260312_005049
15592624291,m,release,p01,p01_single_key_g3_20260312_005049
16111442208,m,press,p01,p01_single_key_g3_20260312_005049
16223436666,m,release,p01,p01_single_key_g3_20260312_005049
16814674583,m,press,p01,p01_single_key_g3_20260312_005049
16949656833,m,release,p01,p01_single_key_g3_20260312_005049
17476998708,m,press,p01,p01_single_key_g3_20260312_005049
17600594458,m,release,p01,p01_single_key_g3_20260312_005049
18170591541,m,press,p01,p01_single_key_g3_20260312_005049
18286944250,m,release,p01,p01_single_key_g3_20260312_005049
18880838208,m,press,p01,p01_single_key_g3_20260312_005049
18999071916,m,release,p01,p01_single_key_g3_20260312_005049
19599758708,m,press,p01,p01_single_key_g3_20260312_005049
19724089375,m,release,p01,p01_single_key_g3_20260312_005049
20300679500,m,press,p01,p01_single_key_g3_20260312_005049
20408914125,m,release,p01,p01_single_key_g3_20260312_005049
20939501916,m,press,p01,p01_single_key_g3_20260312_005049
21064579833,m,release,p01,p01_single_key_g3_20260312_005049
21640722041,m,press,p01,p01_single_key_g3_20260312_005049
21744476375,m,release,p01,p01_single_key_g3_20260312_005049
22283389333,m,press,p01,p01_single_key_g3_20260312_005049
22391642583,m,release,p01,p01_single_key_g3_20260312_005049
22956789541,m,press,p01,p01_single_key_g3_20260312_005049
23065037125,m,release,p01,p01_single_key_g3_20260312_005049
23622989083,m,press,p01,p01_single_key_g3_20260312_005049
23726870000,m,release,p01,p01_single_key_g3_20260312_005049
24326538916,m,press,p01,p01_single_key_g3_20260312_005049
24390569750,m,release,p01,p01_single_key_g3_20260312_005049
25020638083,m,press,p01,p01_single_key_g3_20260312_005049
25116793708,m,release,p01,p01_single_key_g3_20260312_005049
25657687625,m,press,p01,p01_single_key_g3_20260312_005049
25765916333,m,release,p01,p01_single_key_g3_20260312_005049
26293585416,m,press,p01,p01_single_key_g3_20260312_005049
26398116375,m,release,p01,p01_single_key_g3_20260312_005049
27048626000,m,press,p01,p01_single_key_g3_20260312_005049
27176678083,m,release,p01,p01_single_key_g3_20260312_005049
27733552083,m,press,p01,p01_single_key_g3_20260312_005049
27853519041,m,release,p01,p01_single_key_g3_20260312_005049
28467591416,m,press,p01,p01_single_key_g3_20260312_005049
28568091000,m,release,p01,p01_single_key_g3_20260312_005049
29203387916,m,press,p01,p01_single_key_g3_20260312_005049
29315678708,m,release,p01,p01_single_key_g3_20260312_005049
29897735291,m,press,p01,p01_single_key_g3_20260312_005049
29977493583,m,release,p01,p01_single_key_g3_20260312_005049
30624148916,m,press,p01,p01_single_key_g3_20260312_005049
30724957916,m,release,p01,p01_single_key_g3_20260312_005049
31328049666,m,press,p01,p01_single_key_g3_20260312_005049
31432457541,m,release,p01,p01_single_key_g3_20260312_005049
32049448166,m,press,p01,p01_single_key_g3_20260312_005049
32149424250,m,release,p01,p01_single_key_g3_20260312_005049
32752283375,m,press,p01,p01_single_key_g3_20260312_005049
32860721333,m,release,p01,p01_single_key_g3_20260312_005049
33472503208,m,press,p01,p01_single_key_g3_20260312_005049
